

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325
RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 232

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 359

RUN: run status: enemy: 5; fitness: 80.66000000000003; player life: 76.60000000000022; enemy life: 20.0; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 349

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 135

RUN: run status: enemy: 5; fitness: 6.620000000000033; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 457

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 328

RUN: run status: enemy: 5; fitness: 8.300000000000026; player life: 73.00000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 209

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 338

RUN: run status: enemy: 5; fitness: 7.280000000000034; player life: 62.80000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 254

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: 5.36000000000003; player life: 43.60000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 179

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 223

RUN: run status: enemy: 5; fitness: 9.500000000000014; player life: 85.00000000000014; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 301

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 321

RUN: run status: enemy: 5; fitness: 5.9000000000000306; player life: 49.000000000000306; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 223

RUN: run status: enemy: 5; fitness: 2.420000000000023; player life: 14.200000000000228; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 384

RUN: run status: enemy: 5; fitness: 9.620000000000013; player life: 86.20000000000013; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 271

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: 6.140000000000032; player life: 51.40000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 223

RUN: run status: enemy: 5; fitness: 3.8000000000000256; player life: 28.000000000000256; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 295

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 5; fitness: 6.320000000000032; player life: 53.200000000000315; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 532

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 222

RUN: run status: enemy: 5; fitness: 4.100000000000026; player life: 31.000000000000263; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 301

RUN: run status: enemy: 2; fitness: 82.0; player life: 0; enemy life: 10.0; time: 184

RUN: run status: enemy: 5; fitness: 19.0; player life: 0; enemy life: 80.0; time: 573

RUN: run status: enemy: 8; fitness: 93.14000000000003; player life: 21.40000000000024; enemy life: 0; time: 396

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 465

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 4.700000000000028; player life: 37.00000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 6.800000000000033; player life: 58.00000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 321

RUN: run status: enemy: 5; fitness: 4.100000000000026; player life: 31.000000000000263; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 197

